Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,2,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,3,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,4,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,5,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,6,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,7,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,8,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,9,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,10,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,11,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,14,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,15,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,18,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,19,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,20,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,21,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,22,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,23,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,24,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,25,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,26,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,27,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,28,Qxf7,True,d5f7,2 cp,0.501
openai/gpt-4.1-mini,29,Qxd8,False,,,0.0
openai/gpt-4.1-mini,30,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,31,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,32,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,33,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,34,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,35,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,36,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,37,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,38,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,39,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,40,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,41,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,42,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,43,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,44,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,45,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,46,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,47,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,48,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,49,SE,False,,,0.0
openai/gpt-4.1-mini,50,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,51,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,52,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,53,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,54,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,55,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,56,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,57,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,58,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,59,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,60,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,61,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,62,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,63,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,64,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,65,Qg8,True,d5g8,Mate in 1,1.0
