Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qxd7,True,d5d7,-557 cp,0.221
openai/gpt-4.1-mini,2,Qxf7,True,d5f7,42 cp,0.521
openai/gpt-4.1-mini,3,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,4,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,5,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,6,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,7,Qxf7,True,d5f7,36 cp,0.518
openai/gpt-4.1-mini,8,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,9,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,10,Qh5,True,d5h5,-635 cp,0.182
openai/gpt-4.1-mini,11,Qxd8,False,,,0.0
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,14,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,15,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Qxf7,True,d5f7,44 cp,0.522
openai/gpt-4.1-mini,18,Qxd8,False,,,0.0
openai/gpt-4.1-mini,19,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,20,Qxf7,True,d5f7,38 cp,0.519
openai/gpt-4.1-mini,21,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,22,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,23,Qxd8,False,,,0.0
openai/gpt-4.1-mini,24,Qxf7,True,d5f7,47 cp,0.523
openai/gpt-4.1-mini,25,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,26,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,27,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,28,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,29,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,30,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,31,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,32,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,33,Qxf7,True,d5f7,42 cp,0.521
openai/gpt-4.1-mini,34,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,35,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,36,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,37,Qxf7,True,d5f7,49 cp,0.524
openai/gpt-4.1-mini,38,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,39,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,40,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,41,Qxf7,True,d5f7,55 cp,0.527
openai/gpt-4.1-mini,42,Qxf7,True,d5f7,52 cp,0.526
openai/gpt-4.1-mini,43,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,44,Qxf7,True,d5f7,38 cp,0.519
openai/gpt-4.1-mini,45,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,46,Qh5,True,d5h5,-631 cp,0.184
openai/gpt-4.1-mini,47,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,48,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,49,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,50,Qxf7,True,d5f7,51 cp,0.525
openai/gpt-4.1-mini,51,Qxf7,True,d5f7,45 cp,0.522
openai/gpt-4.1-mini,52,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,53,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,54,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,55,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,56,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,57,Qxf7,True,d5f7,57 cp,0.528
openai/gpt-4.1-mini,58,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,59,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,60,Qxf7,True,d5f7,40 cp,0.52
openai/gpt-4.1-mini,61,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,62,Qxf7,True,d5f7,55 cp,0.527
openai/gpt-4.1-mini,63,Qxf7,True,d5f7,48 cp,0.524
openai/gpt-4.1-mini,64,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,65,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,66,Qxf7,True,d5f7,54 cp,0.527
openai/gpt-4.1-mini,67,Nxf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,68,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,69,Qxf7,True,d5f7,51 cp,0.525
openai/gpt-4.1-mini,70,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,71,Nxg4,True,h6g4,-2 cp,0.499
openai/gpt-4.1-mini,72,Qxd7,True,d5d7,-546 cp,0.227
openai/gpt-4.1-mini,73,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,74,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,75,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,76,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,77,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,78,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,79,Qxf7,True,d5f7,55 cp,0.527
openai/gpt-4.1-mini,80,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,81,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,82,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,83,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,84,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,85,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,86,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,87,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,88,Qxf7,True,d5f7,57 cp,0.528
openai/gpt-4.1-mini,89,Qxf7,True,d5f7,54 cp,0.527
openai/gpt-4.1-mini,90,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,91,Qxf7,True,d5f7,50 cp,0.525
openai/gpt-4.1-mini,92,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,93,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,94,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,95,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,96,Qxd7,True,d5d7,-508 cp,0.246
openai/gpt-4.1-mini,97,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,98,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,99,Qxd8,False,,,0.0
openai/gpt-4.1-mini,100,Nhf7,True,h6f7,Mate in 3,0.98
,,,,,,
=== Summary Statistics ===,,,,,,
Average Normalized Value,,,,,0.709,
Standard Deviation,,,,,0.373,
Mean Absolute Error (from 0.5),,,,,0.378,
Illegal Moves (%),,,,,14.00%,
Mean Value (Legal Moves Only),,,,,0.825,
