Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,3,Qd7,True,d5d7,-559 cp,0.22
google/gemini-2.5-flash-lite,4,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,5,Qd3,True,d5d3,26 cp,0.513
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,10,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,11,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,13,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,14,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,16,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,20,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,21,Qd3,True,d5d3,42 cp,0.521
google/gemini-2.5-flash-lite,22,Qd3,True,d5d3,43 cp,0.521
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,30,Qd3,True,d5d3,35 cp,0.517
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,32,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,34,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,36,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,41,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,44,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,45,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,48,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,51,Qd3,True,d5d3,30 cp,0.515
google/gemini-2.5-flash-lite,52,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,54,Qd3,True,d5d3,29 cp,0.514
google/gemini-2.5-flash-lite,55,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,56,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,57,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,60,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,62,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,63,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,65,Qd7,True,d5d7,-540 cp,0.23
google/gemini-2.5-flash-lite,66,Qd3,True,d5d3,32 cp,0.516
google/gemini-2.5-flash-lite,67,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,68,Qd3,True,d5d3,28 cp,0.514
google/gemini-2.5-flash-lite,69,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,72,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,75,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,76,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,77,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,80,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,81,Qd3,True,d5d3,31 cp,0.515
google/gemini-2.5-flash-lite,82,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,83,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,84,Qd3,True,d5d3,30 cp,0.515
google/gemini-2.5-flash-lite,85,Qd3,True,d5d3,44 cp,0.522
google/gemini-2.5-flash-lite,86,Qh5,True,d5h5,-679 cp,0.16
