Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,2,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,3,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,4,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,5,SE,False,,,0.0
openai/gpt-4.1-mini,6,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,7,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,8,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,9,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,10,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,11,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,14,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,15,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,18,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,19,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,20,Qxd8,False,,,0.0
openai/gpt-4.1-mini,21,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,22,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,23,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,24,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,25,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,26,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,27,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,28,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,29,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,30,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,31,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,32,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,33,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,34,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,35,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,36,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,37,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,38,Qxd7,True,d5d7,-520 cp,0.24
openai/gpt-4.1-mini,39,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,40,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,41,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,42,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,43,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,44,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,45,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,46,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,47,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,48,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,49,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,50,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,51,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,52,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,53,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,54,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,55,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,56,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,57,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,58,Qxd8,False,,,0.0
openai/gpt-4.1-mini,59,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,60,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,61,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,62,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,63,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,64,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,65,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,66,Qg8,True,d5g8,Mate in 1,1.0
