Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,3,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,6,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,7,Qd3,True,d5d3,21 cp,0.51
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,11,Qd3,True,d5d3,40 cp,0.52
google/gemini-2.5-flash-lite,12,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,16,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,17,Qd3,True,d5d3,47 cp,0.523
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,20,Qd3,True,d5d3,46 cp,0.523
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,22,Qd3,True,d5d3,52 cp,0.526
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,25,Qd3,True,d5d3,43 cp,0.521
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,30,Qd7,True,d5d7,-576 cp,0.212
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-654 cp,0.173
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,33,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,34,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,36,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,37,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,38,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,42,Qd3,True,d5d3,42 cp,0.521
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,44,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,46,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-677 cp,0.161
