Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,3,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,4,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,5,Qd3,True,d5d3,50 cp,0.525
google/gemini-2.5-flash-lite,6,Qd3,True,d5d3,63 cp,0.531
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,9,Qf7,True,d5f7,10 cp,0.505
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,11,Qd3,True,d5d3,56 cp,0.528
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,14,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,16,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,17,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,20,Qd3,True,d5d3,50 cp,0.525
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,22,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,23,Qd3,True,d5d3,52 cp,0.526
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,25,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,27,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,28,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,29,Qd3,True,d5d3,58 cp,0.529
google/gemini-2.5-flash-lite,30,Qd3,True,d5d3,56 cp,0.528
google/gemini-2.5-flash-lite,31,Qd3,True,d5d3,54 cp,0.527
google/gemini-2.5-flash-lite,32,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,33,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,34,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-669 cp,0.165
