Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qxf7,True,d5f7,20 cp,0.51
openai/gpt-4.1-mini,2,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,3,Qxf7,True,d5f7,27 cp,0.513
openai/gpt-4.1-mini,4,Qxd8,False,,,0.0
openai/gpt-4.1-mini,5,Qxf7,True,d5f7,38 cp,0.519
openai/gpt-4.1-mini,6,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,7,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,8,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,9,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,10,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,11,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Qxf7,True,d5f7,27 cp,0.513
openai/gpt-4.1-mini,14,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,15,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,18,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,19,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,20,Qxd8,False,,,0.0
openai/gpt-4.1-mini,21,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,22,Qxf7,True,d5f7,38 cp,0.519
openai/gpt-4.1-mini,23,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,24,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,25,Qxf7,True,d5f7,36 cp,0.518
openai/gpt-4.1-mini,26,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,27,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,28,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,29,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,30,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,31,Qxf7,True,d5f7,20 cp,0.51
openai/gpt-4.1-mini,32,Qxf7,True,d5f7,26 cp,0.513
openai/gpt-4.1-mini,33,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,34,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,35,Qxf7,True,d5f7,41 cp,0.52
openai/gpt-4.1-mini,36,Qxf7,True,d5f7,42 cp,0.521
openai/gpt-4.1-mini,37,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,38,Qg8,True,d5g8,Mate in 1,1.0
